year,month,date,passengers
2012,1,2012-01-01,26152
2012,2,2012-02-01,27909
2012,3,2012-03-01,33597
2012,4,2012-04-01,37675
2012,5,2012-05-01,45227
2012,6,2012-06-01,74325
2012,7,2012-07-01,112121
2012,8,2012-08-01,115279
2012,9,2012-09-01,64672
2012,10,2012-10-01,44994
2012,11,2012-11-01,36950
2012,12,2012-12-01,28020
2013,1,2013-01-01,33290
2013,2,2013-02-01,39979
2013,3,2013-03-01,48868
2013,4,2013-04-01,45765
2013,5,2013-05-01,53648
2013,6,2013-06-01,89859
2013,7,2013-07-01,123521
2013,8,2013-08-01,131832
2013,9,2013-09-01,73189
2013,10,2013-10-01,52926
2013,11,2013-11-01,46451
2013,12,2013-12-01,41688
2014,1,2014-01-01,46650
2014,2,2014-02-01,52449
2014,3,2014-03-01,66133
2014,4,2014-04-01,59225
2014,5,2014-05-01,66713
2014,6,2014-06-01,110602
2014,7,2014-07-01,144581
2014,8,2014-08-01,153457
2014,9,2014-09-01,88289
2014,10,2014-10-01,66516
2014,11,2014-11-01,60850
2014,12,2014-12-01,53716
2015,1,2015-01-01,62759
2015,2,2015-02-01,70478
2015,3,2015-03-01,83855
2015,4,2015-04-01,71608
2015,5,2015-05-01,91023
2015,6,2015-06-01,137314
2015,7,2015-07-01,180679
2015,8,2015-08-01,189430
2015,9,2015-09-01,123040
2015,10,2015-10-01,99286
2015,11,2015-11-01,81609
2015,12,2015-12-01,70857
2016,1,2016-01-01,77559
2016,2,2016-02-01,100742
2016,3,2016-03-01,115808
2016,4,2016-04-01,94875
2016,5,2016-05-01,124249
2016,6,2016-06-01,186538
2016,7,2016-07-01,236016
2016,8,2016-08-01,241559
2016,9,2016-09-01,175335
2016,10,2016-10-01,158542
2016,11,2016-11-01,131723
2016,12,2016-12-01,124780
2017,1,2017-01-01,135999
2017,2,2017-02-01,148343
2017,3,2017-03-01,167806
2017,4,2017-04-01,153568
2017,5,2017-05-01,145980
2017,6,2017-06-01,221845
2017,7,2017-07-01,271920
2017,8,2017-08-01,284124
2017,9,2017-09-01,203886
2017,10,2017-10-01,181919
2017,11,2017-11-01,144641
2017,12,2017-12-01,135240
2018,1,2018-01-01,147569
2018,2,2018-02-01,160078
2018,3,2018-03-01,173061
2018,4,2018-04-01,147551
2018,5,2018-05-01,165240
2018,6,2018-06-01,233874
2018,7,2018-07-01,278613
2018,8,2018-08-01,291344
2018,9,2018-09-01,231681
2018,10,2018-10-01,199626
2018,11,2018-11-01,150058
2018,12,2018-12-01,137230
2019,1,2019-01-01,139055
2019,2,2019-02-01,149004
2019,3,2019-03-01,170177
2019,4,2019-04-01,120306
2019,5,2019-05-01,126309
2019,6,2019-06-01,194912
2019,7,2019-07-01,231281
2019,8,2019-08-01,251887
2019,9,2019-09-01,183654
2019,10,2019-10-01,163093
2019,11,2019-11-01,131054
2019,12,2019-12-01,125421
2020,1,2020-01-01,121605
2020,2,2020-02-01,133907
2020,3,2020-03-01,81346
2020,4,2020-04-01,924
2020,5,2020-05-01,996
2020,6,2020-06-01,6118
2020,7,2020-07-01,45716
2020,8,2020-08-01,63807
2020,9,2020-09-01,10175
2020,10,2020-10-01,5992
2020,11,2020-11-01,3373
2020,12,2020-12-01,8149
2021,1,2021-01-01,4364
2021,2,2021-02-01,2997
2021,3,2021-03-01,4587
2021,4,2021-04-01,5788
2021,5,2021-05-01,14373
2021,6,2021-06-01,42567
2021,7,2021-07-01,109932
2021,8,2021-08-01,151849
2021,9,2021-09-01,108233
2021,10,2021-10-01,103227
2021,11,2021-11-01,75456
2021,12,2021-12-01,64318
2022,1,2022-01-01,67656
2022,2,2022-02-01,75830
2022,3,2022-03-01,101173
2022,4,2022-04-01,102228
2022,5,2022-05-01,107603
2022,6,2022-06-01,176680
2022,7,2022-07-01,234189
2022,8,2022-08-01,242670
2022,9,2022-09-01,176988
2022,10,2022-10-01,158787
2022,11,2022-11-01,138193
2022,12,2022-12-01,114788
